Sample	RawReads	TrimmedReads	TrimmedSingles	FilteredReads	FilteredSingles	Basic Statistics	Per base sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
ERR2017687	59164874	51398110	2985905	51322960	2982784	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017768	58552540	57343192	0	57331496	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017489	57246194	54545906	0	54537672	0	PASS	PASS	PASS	WARN	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017786	54417776	52566990	0	52554222	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017669	41886332	39529866	940191	39470328	939453	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017588	53394496	48377568	1934435	48358772	1933976	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
ERR2017696	55591392	49698914	2189695	49681948	2189195	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017777	45598338	43672302	0	43662092	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017579	55082444	48854744	2377560	48829872	2376848	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017500	65801980	60028126	2187708	60013978	2187384	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017795	44089258	42500214	0	42489894	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017678	74683356	67415144	2911470	67382888	2910559	PASS	PASS	PASS	FAIL	FAIL	PASS	WARN	WARN	PASS	PASS
ERR2017597	52682112	47057284	2293436	47016060	2292388	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017759	50241020	47907832	0	47891774	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017535	67354588	58578792	3173127	58550086	3172235	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
