"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Streptococcus_vestibularis"	"ACVD"	"1"	"ACVD1"	2.08788753875024	0	0.298121374247486	0.00000000000249678837600523	0.0000000292323983062692	0.00000000000499357675200422	0.0000000364531102896308	NA	"prevalence"	382	128
"Rothia_mucilaginosa"	"ACVD"	"1"	"ACVD1"	2.19564403607965	0	0.327285736111847	0.0000000000196439012406418	0.00000010094827505177	0.0000000000392878024808976	0.000000125883568136042	NA	"prevalence"	382	101
"Streptococcus_oralis"	"ACVD"	"1"	"ACVD1"	1.7433184775431	0	0.26143108385564	0.0000000000258664866036308	0.00000010094827505177	0.0000000000517329732065924	0.000000125883568136042	NA	"prevalence"	382	152
"Streptococcus_sanguinis"	"ACVD"	"1"	"ACVD1"	1.69916276897675	0	0.26213814789266	0.000000000090552890482846	0.00000026504831044329	0.000000000181105780957492	0.000000330518050247423	NA	"prevalence"	382	163
"Streptococcus_infantis"	"ACVD"	"1"	"ACVD1"	1.73128200369167	0	0.280355379326884	0.000000000660328412889635	0.00000154622501162237	0.00000000132065682534323	0.00000192815896500112	NA	"prevalence"	382	123
"Streptococcus_salivarius"	"ACVD"	"1"	"ACVD1"	1.60282793692145	-0.0189389603225172	0.265019056525057	0.000000005027851246453	0.00000981101373224528	0.0000000100557024676267	0.0000122344380022791	NA	"abundance"	382	361
"Actinomyces_sp_ph3"	"ACVD"	"1"	"ACVD1"	2.29388547519366	0	0.40782163770881	0.000000018580131890405	0.0000234803101607161	0.0000000371602634355886	0.0000266183592344717	NA	"prevalence"	382	76
"Akkermansia_muciniphila"	"ACVD"	"1"	"ACVD1"	1.53115975739281	0	0.271505897096866	0.0000000170536442480711	0.0000234803101607161	0.0000000341072882053154	0.0000266183592344717	NA	"prevalence"	382	124
"Lancefieldella_parvula"	"ACVD"	"1"	"ACVD1"	2.60660550161338	0	0.462515523128456	0.0000000174333861757783	0.0000234803101607161	0.0000000348667720476337	0.0000266183592344717	NA	"prevalence"	382	71
"Streptococcus_mitis"	"ACVD"	"1"	"ACVD1"	1.40018144373127	0	0.249518804273441	0.0000000200549283914555	0.0000234803101607161	0.0000000401098563807108	0.0000266183592344717	NA	"prevalence"	382	191
"UNCLASSIFIED"	"Reads"	"Reads"	"Reads"	0.0635942954965716	-0.190999206214091	0.0375931690794819	0.0000000250818710245682	0.0000266962314505131	0.0000000250818710245682	0.0000261568083541925	NA	"abundance"	382	382
"Lachnospira_eligens"	"ACVD"	"1"	"ACVD1"	-1.94530906020254	-0.0189389603225172	0.334731760273811	0.0000000348455535537084	0.0000323970229184694	0.0000000696911058932041	0.0000403994299711577	NA	"abundance"	382	281
"Gemella_sanguinis"	"ACVD"	"1"	"ACVD1"	1.43223431616512	0	0.259954141840143	0.0000000359720958267938	0.0000323970229184694	0.0000000719441903595959	0.0000403994299711577	NA	"prevalence"	382	140
