"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UNCLASSIFIED"	"Reads"	"Reads"	"Reads"	0.0591425214650642	-0.21119275545582	0.0367044453006542	0.000000287693665668165	0.00182627938966151	0.000000287693665668165	0.0010500818796888	NA	"abundance"	382	382
"Roseburia_inulinivorans"	"BMI"	"BMI"	"BMI"	0.538724909558458	-0.0678371329290489	0.148402513900994	0.000158415000132694	0.502809210421172	0.000316804904953122	0.578168951539447	NA	"abundance"	382	313
"Blautia_luti"	"BMI"	"BMI"	"BMI"	0.47770980815312	-0.0678371329290489	0.134668710338061	0.00049315361054747	0.570975116757957	0.000986064020611344	0.647323417436045	NA	"abundance"	382	56
"Sutterella_wadsworthensis"	"Reads"	"Reads"	"Reads"	0.651200881874219	-0.21119275545582	0.235971870944199	0.000539674023400716	0.570975116757957	0.0010790567987499	0.647323417436045	NA	"abundance"	382	96
"Collinsella_stercoris"	"BMI"	"BMI"	"BMI"	0.59022226492877	0	0.169251387766441	0.000488011028324893	0.570975116757957	0.00097578390188602	0.647323417436045	NA	"prevalence"	382	8
"Streptococcus_australis"	"Reads"	"Reads"	"Reads"	0.432124501659455	0	0.122418152754898	0.000415708237918127	0.570975116757957	0.000831243662497181	0.647323417436045	NA	"prevalence"	382	252
"Faecalibacterium_prausnitzii"	"Reads"	"Reads"	"Reads"	0.15585687661512	-0.21119275545582	0.105067012267104	0.00108447226343955	0.610166021793255	0.00216776844678893	0.647323417436045	NA	"abundance"	382	355
"GGB9766_SGB15383"	"Reads"	"Reads"	"Reads"	0.296961620188406	-0.21119275545582	0.135881160044322	0.000993022725237491	0.610166021793255	0.00198505935634214	0.647323417436045	NA	"abundance"	382	46
"Hominilimicola_fabiformis"	"BMI"	"BMI"	"BMI"	0.339327872419413	-0.0678371329290489	0.111394712777763	0.00115343293344661	0.610166021793255	0.00230553545936126	0.647323417436045	NA	"abundance"	382	321
"Ruminococcus_hominis"	"BMI"	"BMI"	"BMI"	0.467269932593632	-0.0678371329290489	0.143649779527638	0.00075657969141929	0.610166021793255	0.00151258697000911	0.647323417436045	NA	"abundance"	382	118
"GGB9534_SGB14937"	"BMI"	"BMI"	"BMI"	-0.661931391059202	0	0.198295447396021	0.000843513060735955	0.610166021793255	0.00168631460718828	0.647323417436045	NA	"prevalence"	382	123
"Haemophilus_parainfluenzae"	"Reads"	"Reads"	"Reads"	0.39754267963266	0	0.120995042082329	0.00101761323872592	0.610166021793255	0.00203419094074821	0.647323417436045	NA	"prevalence"	382	248
"Citrobacter_werkmanii"	"BMI"	"BMI"	"BMI"	-2.33962095966729	-0.0678371329290489	0.615967966445828	0.00205278174649703	0.624842252736443	0.00410134958009532	0.686563468796566	NA	"abundance"	382	21
"Faecalibacillus_intestinalis"	"BMI"	"BMI"	"BMI"	0.357450998692174	-0.0678371329290489	0.121082844264748	0.00154078339219821	0.624842252736443	0.00307919277093474	0.686563468796566	NA	"abundance"	382	290
"Fusicatenibacter_saccharivorans"	"BMI"	"BMI"	"BMI"	0.311258473619524	-0.0678371329290489	0.109062088022625	0.0020736762706608	0.624842252736443	0.00414305240804609	0.686563468796566	NA	"abundance"	382	316
"GGB45635_SGB63349"	"Reads"	"Reads"	"Reads"	-0.631300272852672	-0.21119275545582	0.0686430033749133	0.00164893794747045	0.624842252736443	0.00164893794747045	0.647323417436045	NA	"abundance"	382	11
"Megamonas_funiformis"	"BMI"	"BMI"	"BMI"	0.581338923235324	-0.0678371329290489	0.201003044446799	0.00208550051474621	0.624842252736443	0.00416665171709541	0.686563468796566	NA	"abundance"	382	237
"Ruminococcus_bromii"	"BMI"	"BMI"	"BMI"	0.546022796723153	-0.0678371329290489	0.190505205227331	0.00216548984880305	0.624842252736443	0.00432629035132083	0.686563468796566	NA	"abundance"	382	309
